SpOT.upreg,SpOT.downreg,SpOT.ALLGENES,Neftel.MES-like,Neftel.AC-like,Neftel.NPC-like,Neftel.OPC-like,AstroDiff.GLIAL PROGENITOR CELLS,AstroDiff.AC MARKERS,AstroDiff.PRI-OPC MARKERS,AstroDiff.OD MARKERS,AstroDiff.FETAL APC,AstroDiff.ASTRO EPENDYMAL APC,AstroDiff.PERICYTES,AstroDiff.ENDOTHELIAL CELLS,AstroDiff.MICROGLIA,Macrophage.PAN-MACROPHAGES,Macrophage.MICROGLIA,Macrophage.PRIMED MICROGLIA,Macrophage.REPRESSED MICROGLIA,Macrophage.PRIMED MACROPHAGES,Macrophage.REPRESSED MACROPHAGES,Macrophage.T CELLS,AstroActivationRepression.Inflammatory Astrocyte Genes,AstroActivationRepression.Astrocyte Alternative Activation,AstroActivationRepression.Astrocyte Progenitor,AstroActivationRepression.Astrocyte Mature ,Pugh.Developmental,Pugh.Injury Response,Ravi.Radial.Glia,Ravi.Reactive.Immune,Ravi.Regional.NPC,Ravi.Regional.OPC,Ravi.Reactive.Hypoxia,Ron.upreg,Ron.downreg
VEGFA,SCD5,VEGFA,HILPDA,CST3,SEPTIN3,BCAN,SPARCL1,AQP4,OLIG2,OLIG2,AQP4,AQP4,PDGFRB,PECAM1,CX3CR1,C1QA,ENTPD1,CYTL1,IFIT3,AURKB,MT1G,CD3G,LCN2,DDX3Y,RPLP2,SLC1A2,CBLN1,METTL13,PSPH,CD74,HPCA,MT2A,ADM,AK4,IL6
NDRG1,ST6GAL1,NDRG1,ADM,S100B,ABAT,PLP1,HOPX,GFAP,EGFR,MBP,CD38,FOXJ1,,,,C1QB,CYFIP1,EGR3,IFI27,CDCA3,ANKRD28,GZMH,C1S,IGFBP3,TUBA1A,SPARCL1,GABRA4,UBXN4,LANCL2,C3,SYN2,SCD,VEGFA,ANKRD37,RPLXNA2
PGK1,LYPD1,PGK1,DDIT3,SLC1A3,AMOTL2,GPR17,,FGFR3,CHD3,SOX10,,,,,,C1QC,VAV1,,,ASPM,,IL2RB,SERPING1,LGALS3,CDR1,SLC1A3,RIT2,FASTKD2,S100A8,CCL3,SNAP25,OLIG1,HILPDA,ARG2,ZNF48
BNIP3,GTF2I,BNIP3,NDRG1,HEPN1,ASCL1,FIBIN,,SPARCL1,CHD7,OLIG1,,,,,,TYROBP,TMEM119,,,,,ICOS,C1R,CLCF1,RPS11,GLUL,SHISA6,DDX47,PTPRZ1,APLNR,RTN1,MBP,ZNF395,ATG9B,ATP6V0E2−AS1
MT1X,COL5A3,MT1X,HERPUD1,HOPX,ATP1B1,LHFPL3,,GLAST,DLL1,PDGFRA,,,,,,MT1G,AIF1,,,,,PRF1,TAPBP,EMP1,TUBA1B,CPE,AMER2,TLK2,EGFR,CCL4,STMN2,NCAN,ECE1,BNIP3L,RFC3
SPP1,LRP1,SPP1,DNAJB9,MT3,BCAN,OLIG1,,ALDH1L1,DLL3,BMP4,,,,,,CCL3L3,,,,,,,PSMB8,EIF2S3,RPL30,GJA1,LINC00403,LSM1,PTN,HLA-DRA,TMEM130,PLP1,SULF2,CA9,NUFIP1
AKAP12,HCLS1,AKAP12,TRIB3,SPARCL1,BEX1,PSAT1,,GS,PPP1R14P,GPR17,,,,,,S100A8,,,,,,,SLC1A5,VGF,NNAT,AQP4,MMD2,RNF20,KCNIP1,CRYAB,SYT1,FABP7,IGFBP5,CDK18,SDC1
LDHA,TREM2,LDHA,ENO2,MLC1,BLCAP,SCRG1,,S100B,,MOBP,,,,,,ALOX5AP,,,,,,,AMIGO2,S100A11,MAP1B,ATP1B2,RPH3A,NOL10,HAMP,EFEMP1,ATP1A3,ANXA5,EPAS1,CXCL8,C15orf62
MT1G,CYBB,MT1G,AKAP12,GFAP,BTG2,OMG,,SLC1A3,,MOG,,,,,,SRGN,,,,,,,ENDOU,CTGF,ACTB,GPM6A,VGF,SEC24B,CXCL10,HLA-DPA1,SYN1,SDC3,CA12,CYP26B1,DLG3
ENO1,HLA-DQA1,ENO1,SQSTM1,FABP7,CD200,APOD,,ATP1A2,,,,,,,,,,,,,,,CXCL9,PTGS2,HIST1H2BC,CLU,SLIT1,CAPRIN1,SPP1,PTGDS,NSG2,SELENOP,SLC6A6,EDLN3,ID3
PTX3,TUBB2B,PTX3,MT1X,BCAN,CD24,SIRT2,,ATP1B2,,,,,,,,,,,,,,,FBLN5,ANXA3,VIM,ALDOC,NEUROD4,NRBP1,MDK,FTL,LY6H,FXYD6,GAPDH,GALNT18,PRMT6
GPNMB,OLFM2,GPNMB,ATF3,PON2,CD24,TNR,,PON2,,,,,,,,,,,,,,,IFI44,LGALS1,RPS27,NTRK2,CHRM1,SNW1,C1QB,CCL4L2,VSNL1,TF,SMIM3,HK2,CEP41
GAPDH,LAP3,GAPDH,NAMPT,METTL7B,CEP170,THY1,,MT3,,,,,,,,,,,,,,,TLR2,THBD,HIST1H2BF,LDHB,DBX2,PRKAR1A,B2M,HLA-DRB1,CHGB,PFN2,MT1X,ICAM5,ITGB6
CXCL8,TUBA1B,CXCL8,NRN1,SPARC,CHD7,PHYHIPL,,ALDOC,,,,,,,,,,,,,,,ERAP1,AKAP12,RPS6,CST3,GPR12,NSUN3,S100A16,IGFBP7,YWHAH,CNP,DDIT4,INSIG2,UNG
SLC2A1,GPM6A,SLC2A1,SLC2A1,GATM,CRABP1,SOX2-OT,,CLU,,,,,,,,,,,,,,,KCTD1,S100A10,EGR1,NDRG2,VSTM2B,YTHDF3,HOPX,AZGP1,ENC1,SEPTIN3,TPI1,MCHR1,ENDOD1
MALAT1,CYBA,MALAT1,BNIP3,RAMP1,DBN1,NKAIN4,,TNC,,,,,,,,,,,,,,,PPARA,THBS1,BASP1,GPM6B,C5orf67,TRIM26,TUBB2B,THY1,CRYM,JUNB,AKAP12,NDRG1,ATF7IP
